,objectid,province_territory,project_name,total_project_capacity_mw,turbine_identifier,turbine_number_in_project,turbine_rated_capacity_k_w,rotor_diameter_m,hub_height_m,manufacturer,model,commissioning_date,latitude,longitude,notes,num_turbines_in_project,end_commission_date,datetime
704,705,Alberta,Blackspring Ridge Wind,298.8,BRW105,105/166,1800.0,100.0,80.0,Vestas,V100 1.8,2014,50.1468231711818,-112.86083311272,,166,2014,2014-01-01
705,706,Alberta,Blackspring Ridge Wind,298.8,BRW106,106/166,1800.0,100.0,80.0,Vestas,V100 1.8,2014,50.1429439184447,-112.858750353224,,166,2014,2014-01-01
706,707,Alberta,Blackspring Ridge Wind,298.8,BRW107,107/166,1800.0,100.0,80.0,Vestas,V100 1.8,2014,50.140645389476,-112.854545707062,,166,2014,2014-01-01
707,708,Alberta,Blackspring Ridge Wind,298.8,BRW108,108/166,1800.0,100.0,80.0,Vestas,V100 1.8,2014,50.1314391718163,-112.858599126749,,166,2014,2014-01-01
708,709,Alberta,Blackspring Ridge Wind,298.8,BRW109,109/166,1800.0,100.0,80.0,Vestas,V100 1.8,2014,50.126147774729,-112.849245961184,,166,2014,2014-01-01
709,710,Alberta,Blackspring Ridge Wind,298.8,BRW110,110/166,1800.0,100.0,80.0,Vestas,V100 1.8,2014,50.1249556699174,-112.84350061589,,166,2014,2014-01-01
710,711,Alberta,Blackspring Ridge Wind,298.8,BRW111,111/166,1800.0,100.0,80.0,Vestas,V100 1.8,2014,50.1221995341679,-112.839160841199,,166,2014,2014-01-01
711,712,Alberta,Blackspring Ridge Wind,298.8,BRW112,112/166,1800.0,100.0,80.0,Vestas,V100 1.8,2014,50.1196012994726,-112.83492089799,,166,2014,2014-01-01
712,713,Alberta,Blackspring Ridge Wind,298.8,BRW113,113/166,1800.0,100.0,80.0,Vestas,V100 1.8,2014,50.116940870675,-112.83075105216,,166,2014,2014-01-01
713,714,Alberta,Blackspring Ridge Wind,298.8,BRW114,114/166,1800.0,100.0,80.0,Vestas,V100 1.8,2014,50.1130842281502,-112.821662131994,,166,2014,2014-01-01
714,715,Alberta,Blackspring Ridge Wind,298.8,BRW115,115/166,1800.0,100.0,80.0,Vestas,V100 1.8,2014,50.1105873374061,-112.816779035908,,166,2014,2014-01-01
715,716,Alberta,Blackspring Ridge Wind,298.8,BRW116,116/166,1800.0,100.0,80.0,Vestas,V100 1.8,2014,50.1153858083655,-112.850767061401,,166,2014,2014-01-01
716,717,Alberta,Blackspring Ridge Wind,298.8,BRW117,117/166,1800.0,100.0,80.0,Vestas,V100 1.8,2014,50.1129337891079,-112.847350222883,,166,2014,2014-01-01
717,718,Alberta,Blackspring Ridge Wind,298.8,BRW118,118/166,1800.0,100.0,80.0,Vestas,V100 1.8,2014,50.1104545529342,-112.842835439425,,166,2014,2014-01-01
718,719,Alberta,Blackspring Ridge Wind,298.8,BRW119,119/166,1800.0,100.0,80.0,Vestas,V100 1.8,2014,50.1079099274691,-112.83877276252,,166,2014,2014-01-01
719,720,Alberta,Blackspring Ridge Wind,298.8,BRW120,120/166,1800.0,100.0,80.0,Vestas,V100 1.8,2014,50.1040118526451,-112.832438305126,,166,2014,2014-01-01
720,721,Alberta,Blackspring Ridge Wind,298.8,BRW121,121/166,1800.0,100.0,80.0,Vestas,V100 1.8,2014,50.1028442486124,-112.81940959683,,166,2014,2014-01-01
721,722,Alberta,Blackspring Ridge Wind,298.8,BRW122,122/166,1800.0,100.0,80.0,Vestas,V100 1.8,2014,50.0999830240074,-112.815818135677,,166,2014,2014-01-01
722,723,Alberta,Blackspring Ridge Wind,298.8,BRW123,123/166,1800.0,100.0,80.0,Vestas,V100 1.8,2014,50.2033897170868,-112.875315135194,,166,2014,2014-01-01
723,724,Alberta,Blackspring Ridge Wind,298.8,BRW124,124/166,1800.0,100.0,80.0,Vestas,V100 1.8,2014,50.1990183255337,-112.873487535746,,166,2014,2014-01-01
724,725,Alberta,Blackspring Ridge Wind,298.8,BRW125,125/166,1800.0,100.0,80.0,Vestas,V100 1.8,2014,50.1948059981683,-112.874659771971,,166,2014,2014-01-01
725,726,Alberta,Blackspring Ridge Wind,298.8,BRW126,126/166,1800.0,100.0,80.0,Vestas,V100 1.8,2014,50.1912429980336,-112.873514785137,,166,2014,2014-01-01
726,727,Alberta,Blackspring Ridge Wind,298.8,BRW127,127/166,1800.0,100.0,80.0,Vestas,V100 1.8,2014,50.1873214492629,-112.872429067951,,166,2014,2014-01-01
727,728,Alberta,Blackspring Ridge Wind,298.8,BRW128,128/166,1800.0,100.0,80.0,Vestas,V100 1.8,2014,50.1839321973149,-112.868427590889,,166,2014,2014-01-01
728,729,Alberta,Blackspring Ridge Wind,298.8,BRW129,129/166,1800.0,100.0,80.0,Vestas,V100 1.8,2014,50.1816180659683,-112.863671953028,,166,2014,2014-01-01
729,730,Alberta,Blackspring Ridge Wind,298.8,BRW130,130/166,1800.0,100.0,80.0,Vestas,V100 1.8,2014,50.178597938033,-112.859921786576,,166,2014,2014-01-01
730,731,Alberta,Blackspring Ridge Wind,298.8,BRW131,131/166,1800.0,100.0,80.0,Vestas,V100 1.8,2014,50.1753465528955,-112.854667382048,,166,2014,2014-01-01
731,732,Alberta,Blackspring Ridge Wind,298.8,BRW132,132/166,1800.0,100.0,80.0,Vestas,V100 1.8,2014,50.1723092253214,-112.850484672966,,166,2014,2014-01-01
732,733,Alberta,Blackspring Ridge Wind,298.8,BRW133,133/166,1800.0,100.0,80.0,Vestas,V100 1.8,2014,50.1689792238846,-112.845972245182,,166,2014,2014-01-01
733,734,Alberta,Blackspring Ridge Wind,298.8,BRW134,134/166,1800.0,100.0,80.0,Vestas,V100 1.8,2014,50.1665420869763,-112.841569484111,,166,2014,2014-01-01
734,735,Alberta,Blackspring Ridge Wind,298.8,BRW135,135/166,1800.0,100.0,80.0,Vestas,V100 1.8,2014,50.1629691287358,-112.83743609218,,166,2014,2014-01-01
735,736,Alberta,Blackspring Ridge Wind,298.8,BRW136,136/166,1800.0,100.0,80.0,Vestas,V100 1.8,2014,50.1603606045171,-112.831848158109,,166,2014,2014-01-01
736,737,Alberta,Blackspring Ridge Wind,298.8,BRW137,137/166,1800.0,100.0,80.0,Vestas,V100 1.8,2014,50.1572067977146,-112.827659743472,,166,2014,2014-01-01
737,738,Alberta,Blackspring Ridge Wind,298.8,BRW138,138/166,1800.0,100.0,80.0,Vestas,V100 1.8,2014,50.1699061833829,-112.869765228413,,166,2014,2014-01-01
738,739,Alberta,Blackspring Ridge Wind,298.8,BRW139,139/166,1800.0,100.0,80.0,Vestas,V100 1.8,2014,50.1671634858582,-112.865535809818,,166,2014,2014-01-01
739,740,Alberta,Blackspring Ridge Wind,298.8,BRW140,140/166,1800.0,100.0,80.0,Vestas,V100 1.8,2014,50.1633053835606,-112.862872568225,,166,2014,2014-01-01
740,741,Alberta,Blackspring Ridge Wind,298.8,BRW141,141/166,1800.0,100.0,80.0,Vestas,V100 1.8,2014,50.1607626424583,-112.859130263297,,166,2014,2014-01-01
741,742,Alberta,Blackspring Ridge Wind,298.8,BRW142,142/166,1800.0,100.0,80.0,Vestas,V100 1.8,2014,50.1584863732944,-112.854872048714,,166,2014,2014-01-01
742,743,Alberta,Blackspring Ridge Wind,298.8,BRW143,143/166,1800.0,100.0,80.0,Vestas,V100 1.8,2014,50.1559419187567,-112.850910653269,,166,2014,2014-01-01
743,744,Alberta,Blackspring Ridge Wind,298.8,BRW144,144/166,1800.0,100.0,80.0,Vestas,V100 1.8,2014,50.1531111246524,-112.846747913265,,166,2014,2014-01-01
744,745,Alberta,Blackspring Ridge Wind,298.8,BRW145,145/166,1800.0,100.0,80.0,Vestas,V100 1.8,2014,50.1509506892765,-112.842652960643,,166,2014,2014-01-01
745,746,Alberta,Blackspring Ridge Wind,298.8,BRW146,146/166,1800.0,100.0,80.0,Vestas,V100 1.8,2014,50.1326716677124,-112.818517671919,,166,2014,2014-01-01
746,747,Alberta,Blackspring Ridge Wind,298.8,BRW147,147/166,1800.0,100.0,80.0,Vestas,V100 1.8,2014,50.1418724319816,-112.805549361777,,166,2014,2014-01-01
747,748,Alberta,Blackspring Ridge Wind,298.8,BRW148,148/166,1800.0,100.0,80.0,Vestas,V100 1.8,2014,50.1398098849211,-112.798683232219,,166,2014,2014-01-01
748,749,Alberta,Blackspring Ridge Wind,298.8,BRW149,149/166,1800.0,100.0,80.0,Vestas,V100 1.8,2014,50.1908820225439,-112.84928435528,,166,2014,2014-01-01
749,750,Alberta,Blackspring Ridge Wind,298.8,BRW150,150/166,1800.0,100.0,80.0,Vestas,V100 1.8,2014,50.1885564491573,-112.845885653154,,166,2014,2014-01-01
750,751,Alberta,Blackspring Ridge Wind,298.8,BRW151,151/166,1800.0,100.0,80.0,Vestas,V100 1.8,2014,50.187070318103,-112.840890449526,,166,2014,2014-01-01
751,752,Alberta,Blackspring Ridge Wind,298.8,BRW152,152/166,1800.0,100.0,80.0,Vestas,V100 1.8,2014,50.1842628154119,-112.836102861795,,166,2014,2014-01-01
752,753,Alberta,Blackspring Ridge Wind,298.8,BRW153,153/166,1800.0,100.0,80.0,Vestas,V100 1.8,2014,50.1769129900044,-112.801414912398,,166,2014,2014-01-01
753,754,Alberta,Blackspring Ridge Wind,298.8,BRW154,154/166,1800.0,100.0,80.0,Vestas,V100 1.8,2014,50.1746091715865,-112.797184859835,,166,2014,2014-01-01
754,755,Alberta,Blackspring Ridge Wind,298.8,BRW155,155/166,1800.0,100.0,80.0,Vestas,V100 1.8,2014,50.1723043862189,-112.792620018714,,166,2014,2014-01-01
755,756,Alberta,Blackspring Ridge Wind,298.8,BRW156,156/166,1800.0,100.0,80.0,Vestas,V100 1.8,2014,50.1617390753859,-112.773873466538,,166,2014,2014-01-01
756,757,Alberta,Blackspring Ridge Wind,298.8,BRW157,157/166,1800.0,100.0,80.0,Vestas,V100 1.8,2014,50.1578003106196,-112.769997989802,,166,2014,2014-01-01
757,758,Alberta,Blackspring Ridge Wind,298.8,BRW158,158/166,1800.0,100.0,80.0,Vestas,V100 1.8,2014,50.1574493309025,-112.763998662957,,166,2014,2014-01-01
758,759,Alberta,Blackspring Ridge Wind,298.8,BRW159,159/166,1800.0,100.0,80.0,Vestas,V100 1.8,2014,50.1552814169054,-112.759072721589,,166,2014,2014-01-01
759,760,Alberta,Blackspring Ridge Wind,298.8,BRW160,160/166,1800.0,100.0,80.0,Vestas,V100 1.8,2014,50.1574861909903,-112.79397570124,,166,2014,2014-01-01
760,761,Alberta,Blackspring Ridge Wind,298.8,BRW161,161/166,1800.0,100.0,80.0,Vestas,V100 1.8,2014,50.1544771721407,-112.789236208419,,166,2014,2014-01-01
761,762,Alberta,Blackspring Ridge Wind,298.8,BRW162,162/166,1800.0,100.0,80.0,Vestas,V100 1.8,2014,50.1509520564711,-112.785621106393,,166,2014,2014-01-01
762,763,Alberta,Blackspring Ridge Wind,298.8,BRW163,163/166,1800.0,100.0,80.0,Vestas,V100 1.8,2014,50.1484564553559,-112.782366666023,,166,2014,2014-01-01
763,764,Alberta,Blackspring Ridge Wind,298.8,BRW164,164/166,1800.0,100.0,80.0,Vestas,V100 1.8,2014,50.1465779449636,-112.775706881011,,166,2014,2014-01-01
764,765,Alberta,Blackspring Ridge Wind,298.8,BRW165,165/166,1800.0,100.0,80.0,Vestas,V100 1.8,2014,50.1463640232994,-112.770029701342,,166,2014,2014-01-01
765,766,Alberta,Blackspring Ridge Wind,298.8,BRW166,166/166,1800.0,100.0,80.0,Vestas,V100 1.8,2014,50.1434749119065,-112.76635415415,,166,2014,2014-01-01
766,767,Alberta,Box Springs Wind Project,298.8,BSW1,1/3,2000.0,90.0,78.0,Gamesa,G90/2000,2014,50.1050257363175,-110.727569772794,,3,2014,2014-01-01
767,768,Alberta,Box Springs Wind Project,298.8,BSW2,2/3,2000.0,90.0,78.0,Gamesa,G90/2000,2014,50.099953011798,-110.727352688169,,3,2014,2014-01-01
768,769,Alberta,Box Springs Wind Project,298.8,BSW3,3/3,2000.0,90.0,78.0,Gamesa,G90/2000,2014,50.0998146897026,-110.716296007942,,3,2014,2014-01-01
769,770,Alberta,Oldman River,49.6,OMR3,3/22,2300.0,101.0,80.0,Siemens,SWT-2.3-101,2014,49.5891100285918,-113.856886517244,,22,2014,2014-01-01
770,771,Alberta,Oldman River,49.6,OMR4,4/22,2300.0,101.0,80.0,Siemens,SWT-2.3-101,2014,49.5866030735767,-113.861129759427,,22,2014,2014-01-01
771,772,Alberta,Oldman River,49.6,OMR5,5/22,2300.0,101.0,80.0,Siemens,SWT-2.3-101,2014,49.5833850967994,-113.860856601266,,22,2014,2014-01-01
772,773,Alberta,Oldman River,49.6,OMR6,6/22,2300.0,101.0,80.0,Siemens,SWT-2.3-101,2014,49.5858026944086,-113.851438556203,,22,2014,2014-01-01
773,774,Alberta,Oldman River,49.6,OMR7,7/22,2300.0,101.0,80.0,Siemens,SWT-2.3-101,2014,49.5840006296341,-113.850359139703,,22,2014,2014-01-01
774,775,Alberta,Oldman River,49.6,OMR8,8/22,2300.0,101.0,80.0,Siemens,SWT-2.3-101,2014,49.5839464817233,-113.842567653915,,22,2014,2014-01-01
775,776,Alberta,Oldman River,49.6,OMR9,9/22,2300.0,101.0,80.0,Siemens,SWT-2.3-101,2014,49.5865578219687,-113.833749734968,,22,2014,2014-01-01
776,777,Alberta,Oldman River,49.6,OMR10,10/22,2300.0,101.0,80.0,Siemens,SWT-2.3-101,2014,49.5838123996492,-113.835004155828,,22,2014,2014-01-01
777,778,Alberta,Oldman River,49.6,OMR11,11/22,2300.0,101.0,80.0,Siemens,SWT-2.3-101,2014,49.5794481842101,-113.866776619219,,22,2014,2014-01-01
778,779,Alberta,Oldman River,49.6,OMR12,12/22,2300.0,101.0,80.0,Siemens,SWT-2.3-101,2014,49.577239607867,-113.870075078604,,22,2014,2014-01-01
779,780,Alberta,Oldman River,49.6,OMR13,13/22,2300.0,101.0,80.0,Siemens,SWT-2.3-101,2014,49.5749461532634,-113.872600277776,,22,2014,2014-01-01
780,781,Alberta,Oldman River,49.6,OMR14,14/22,2300.0,101.0,80.0,Siemens,SWT-2.3-101,2014,49.5726110343492,-113.871628977002,,22,2014,2014-01-01
781,782,Alberta,Oldman River,49.6,OMR15,15/22,2300.0,101.0,80.0,Siemens,SWT-2.3-101,2014,49.568403191667,-113.860995972571,,22,2014,2014-01-01
782,783,Alberta,Oldman River,49.6,OMR16,16/22,2300.0,101.0,80.0,Siemens,SWT-2.3-101,2014,49.5661975281031,-113.860533875958,,22,2014,2014-01-01
783,784,Alberta,Oldman River,49.6,OMR17,17/22,2300.0,101.0,80.0,Siemens,SWT-2.3-101,2014,49.5643737195584,-113.858533289951,,22,2014,2014-01-01
784,785,Alberta,Oldman River,49.6,OMR18,18/22,2300.0,101.0,80.0,Siemens,SWT-2.3-101,2014,49.5629175286317,-113.85263768922,,22,2014,2014-01-01
785,786,Alberta,Oldman River,49.6,OMR19,19/22,2300.0,101.0,80.0,Siemens,SWT-2.3-101,2014,49.5662640137727,-113.851214899303,,22,2014,2014-01-01
786,787,Alberta,Oldman River,49.6,OMR20,20/22,2300.0,101.0,80.0,Siemens,SWT-2.3-101,2014,49.5684914865727,-113.850708031699,,22,2014,2014-01-01
787,788,Alberta,Oldman River,49.6,OMR21,21/22,2300.0,101.0,80.0,Siemens,SWT-2.3-101,2014,49.5706914838833,-113.851756284252,,22,2014,2014-01-01
788,789,Alberta,Oldman River,49.6,OMR22,22/22,2300.0,101.0,80.0,Siemens,SWT-2.3-101,2014,49.5734248792718,-113.851810636291,,22,2014,2014-01-01
789,790,Alberta,Bull Creek Wind Farm,29.2,BCW1,1/17,1700.0,103.0,80.0,GE,GE 1.7-103,2015,52.505724032503,-110.109738691245,,17,2015,2015-01-01
790,791,Alberta,Bull Creek Wind Farm,29.2,BCW2,2/17,1700.0,103.0,80.0,GE,GE 1.7-103,2015,52.5018555147465,-110.097426842207,,17,2015,2015-01-01
791,792,Alberta,Bull Creek Wind Farm,29.2,BCW3,3/17,1700.0,103.0,80.0,GE,GE 1.7-103,2015,52.510093734062,-110.095683883858,,17,2015,2015-01-01
792,793,Alberta,Bull Creek Wind Farm,29.2,BCW4,4/17,1700.0,103.0,80.0,GE,GE 1.7-103,2015,52.5043433004968,-110.091129022374,,17,2015,2015-01-01
793,794,Alberta,Bull Creek Wind Farm,29.2,BCW5,5/17,1700.0,103.0,80.0,GE,GE 1.7-103,2015,52.5055429159651,-110.085450675424,,17,2015,2015-01-01
794,795,Alberta,Bull Creek Wind Farm,29.2,BCW6,6/17,1700.0,103.0,80.0,GE,GE 1.7-103,2015,52.5083348738277,-110.08249509007,,17,2015,2015-01-01
795,796,Alberta,Bull Creek Wind Farm,29.2,BCW7,7/17,1700.0,103.0,80.0,GE,GE 1.7-103,2015,52.5106796221702,-110.082456979279,,17,2015,2015-01-01
796,797,Alberta,Bull Creek Wind Farm,29.2,BCW8,8/17,1700.0,103.0,80.0,GE,GE 1.7-103,2015,52.5150053189986,-110.08389219429,,17,2015,2015-01-01
797,798,Alberta,Bull Creek Wind Farm,29.2,BCW9,9/17,1700.0,103.0,80.0,GE,GE 1.7-103,2015,52.5186967958391,-110.08661826802,,17,2015,2015-01-01
798,799,Alberta,Bull Creek Wind Farm,29.2,BCW10,10/17,1700.0,103.0,80.0,GE,GE 1.7-103,2015,52.4965546870595,-110.037928926165,,17,2015,2015-01-01
799,800,Alberta,Bull Creek Wind Farm,29.2,BCW11,11/17,1700.0,103.0,80.0,GE,GE 1.7-103,2015,52.5004422220772,-110.031165369065,,17,2015,2015-01-01
800,801,Alberta,Bull Creek Wind Farm,29.2,BCW12,12/17,1700.0,103.0,80.0,GE,GE 1.7-103,2015,52.5081545223219,-110.035630315013,,17,2015,2015-01-01
801,802,Alberta,Bull Creek Wind Farm,29.2,BCW13,13/17,1700.0,103.0,80.0,GE,GE 1.7-103,2015,52.5119568080306,-110.033257637404,,17,2015,2015-01-01
802,803,Alberta,Bull Creek Wind Farm,29.2,BCW14,14/17,1700.0,103.0,80.0,GE,GE 1.7-103,2015,52.5122176727885,-110.02259946505,,17,2015,2015-01-01
803,804,Alberta,Bull Creek Wind Farm,29.2,BCW15,15/17,1700.0,103.0,80.0,GE,GE 1.7-103,2015,52.5120073857631,-110.013416225252,,17,2015,2015-01-01
804,805,Alberta,Bull Creek Wind Farm,29.2,BCW16,16/17,1700.0,103.0,80.0,GE,GE 1.7-103,2015,52.5080088581119,-110.020879963417,,17,2015,2015-01-01
805,806,Alberta,Bull Creek Wind Farm,29.2,BCW17,17/17,1700.0,103.0,80.0,GE,GE 1.7-103,2015,52.5079832993125,-110.007911418598,,17,2015,2015-01-01
806,807,Alberta,Castle River Wind Farm,44.0,CRW2,2/60,660.0,47.0,50.0,Vestas,V47/660,2000/2001,49.5125810008432,-114.025663481266,,60,2001,2001-01-01
807,808,Alberta,Castle River Wind Farm,44.0,CRW3,3/60,660.0,47.0,50.0,Vestas,V47/660,2000/2001,49.5117085784156,-114.025631495553,,60,2001,2001-01-01
808,809,Alberta,Castle River Wind Farm,44.0,CRW4,4/60,660.0,47.0,50.0,Vestas,V47/660,2000/2001,49.5107562657144,-114.02564176106,,60,2001,2001-01-01
809,810,Alberta,Castle River Wind Farm,44.0,CRW5,5/60,660.0,47.0,50.0,Vestas,V47/660,2000/2001,49.509851080093,-114.025672699139,,60,2001,2001-01-01
810,811,Alberta,Castle River Wind Farm,44.0,CRW6,6/60,660.0,47.0,50.0,Vestas,V47/660,2000/2001,49.5090590543891,-114.02561803364,,60,2001,2001-01-01
811,812,Alberta,Castle River Wind Farm,44.0,CRW7,7/60,660.0,47.0,50.0,Vestas,V47/660,2000/2001,49.5081861839495,-114.025676209798,,60,2001,2001-01-01
812,813,Alberta,Castle River Wind Farm,44.0,CRW8,8/60,660.0,47.0,50.0,Vestas,V47/660,2000/2001,49.5072215939056,-114.025632779635,,60,2001,2001-01-01
813,814,Alberta,Castle River Wind Farm,44.0,CRW9,9/60,660.0,47.0,50.0,Vestas,V47/660,2000/2001,49.5062983487263,-114.025651722376,,60,2001,2001-01-01
814,815,Alberta,Castle River Wind Farm,44.0,CRW10,10/60,660.0,47.0,50.0,Vestas,V47/660,2000/2001,49.5054118132759,-114.025619312111,,60,2001,2001-01-01
815,816,Alberta,Castle River Wind Farm,44.0,CRW11,11/60,660.0,47.0,50.0,Vestas,V47/660,2000/2001,49.5045822816605,-114.025649950418,,60,2001,2001-01-01
816,817,Alberta,Castle River Wind Farm,44.0,CRW12,12/60,660.0,47.0,50.0,Vestas,V47/660,2000/2001,49.503381054991,-114.025631486119,,60,2001,2001-01-01
817,818,Alberta,Castle River Wind Farm,44.0,CRW13,13/60,660.0,47.0,50.0,Vestas,V47/660,2000/2001,49.5023638754346,-114.025601500938,,60,2001,2001-01-01
818,819,Alberta,Castle River Wind Farm,44.0,CRW14,14/60,660.0,47.0,50.0,Vestas,V47/660,2000/2001,49.5016292107856,-114.025606626009,,60,2001,2001-01-01
819,820,Alberta,Castle River Wind Farm,44.0,CRW15,15/60,660.0,47.0,50.0,Vestas,V47/660,2000/2001,49.5007222198834,-114.025604389522,,60,2001,2001-01-01
820,821,Alberta,Castle River Wind Farm,44.0,CRW16,16/60,660.0,47.0,50.0,Vestas,V47/660,2000/2001,49.4998261818323,-114.025644916603,,60,2001,2001-01-01
821,822,Alberta,Castle River Wind Farm,44.0,CRW17,17/60,660.0,47.0,50.0,Vestas,V47/660,2000/2001,49.4988908139412,-114.025603294755,,60,2001,2001-01-01
822,823,Alberta,Castle River Wind Farm,44.0,CRW18,18/60,660.0,47.0,50.0,Vestas,V47/660,2000/2001,49.5110801949072,-114.037268073632,,60,2001,2001-01-01
823,824,Alberta,Castle River Wind Farm,44.0,CRW19,19/60,660.0,47.0,50.0,Vestas,V47/660,2000/2001,49.5101941865148,-114.03732100947,,60,2001,2001-01-01
824,825,Alberta,Castle River Wind Farm,44.0,CRW20,20/60,660.0,47.0,50.0,Vestas,V47/660,2000/2001,49.5092576513532,-114.03733607762,,60,2001,2001-01-01
825,826,Alberta,Castle River Wind Farm,44.0,CRW21,21/60,660.0,47.0,50.0,Vestas,V47/660,2000/2001,49.5083152777729,-114.037481398539,,60,2001,2001-01-01
826,827,Alberta,Castle River Wind Farm,44.0,CRW22,22/60,660.0,47.0,50.0,Vestas,V47/660,2000/2001,49.507484376576,-114.038110581839,,60,2001,2001-01-01
827,828,Alberta,Castle River Wind Farm,44.0,CRW23,23/60,660.0,47.0,50.0,Vestas,V47/660,2000/2001,49.5065786593197,-114.038482333953,,60,2001,2001-01-01
828,829,Alberta,Castle River Wind Farm,44.0,CRW24,24/60,660.0,47.0,50.0,Vestas,V47/660,2000/2001,49.5055289050915,-114.038710596707,,60,2001,2001-01-01
829,830,Alberta,Castle River Wind Farm,44.0,CRW25,25/60,660.0,47.0,50.0,Vestas,V47/660,2000/2001,49.5046520620362,-114.039088770683,,60,2001,2001-01-01
830,831,Alberta,Castle River Wind Farm,44.0,CRW26,26/60,660.0,47.0,50.0,Vestas,V47/660,2000/2001,49.5036293691746,-114.039522274303,,60,2001,2001-01-01
831,832,Alberta,Castle River Wind Farm,44.0,CRW27,27/60,660.0,47.0,50.0,Vestas,V47/660,2000/2001,49.5025824837148,-114.039793709104,,60,2001,2001-01-01
832,833,Alberta,Castle River Wind Farm,44.0,CRW28,28/60,660.0,47.0,50.0,Vestas,V47/660,2000/2001,49.5015471330628,-114.040223362379,,60,2001,2001-01-01
833,834,Alberta,Castle River Wind Farm,44.0,CRW29,29/60,660.0,47.0,50.0,Vestas,V47/660,2000/2001,49.500474966069,-114.040519454387,,60,2001,2001-01-01
834,835,Alberta,Castle River Wind Farm,44.0,CRW30,30/60,660.0,47.0,50.0,Vestas,V47/660,2000/2001,49.4991903746295,-114.041018360316,,60,2001,2001-01-01
835,836,Alberta,Castle River Wind Farm,44.0,CRW31,31/60,660.0,47.0,50.0,Vestas,V47/660,2000/2001,49.4983188770245,-114.041247867253,,60,2001,2001-01-01
836,837,Alberta,Castle River Wind Farm,44.0,CRW32,32/60,660.0,47.0,50.0,Vestas,V47/660,2000/2001,49.497451214261,-114.041102795233,,60,2001,2001-01-01
837,838,Alberta,Castle River Wind Farm,44.0,CRW33,33/60,660.0,47.0,50.0,Vestas,V47/660,2000/2001,49.4966570309833,-114.041108567594,,60,2001,2001-01-01
838,839,Alberta,Castle River Wind Farm,44.0,CRW34,34/60,660.0,47.0,50.0,Vestas,V47/660,2000/2001,49.4956860948616,-114.040949539646,,60,2001,2001-01-01
839,840,Alberta,Castle River Wind Farm,44.0,CRW35,35/60,660.0,47.0,50.0,Vestas,V47/660,2000/2001,49.5028967216787,-114.04501240913,,60,2001,2001-01-01
840,841,Alberta,Castle River Wind Farm,44.0,CRW36,36/60,660.0,47.0,50.0,Vestas,V47/660,2000/2001,49.5019956259823,-114.04550967466,,60,2001,2001-01-01
841,842,Alberta,Castle River Wind Farm,44.0,CRW37,37/60,660.0,47.0,50.0,Vestas,V47/660,2000/2001,49.5010643262792,-114.045712255386,,60,2001,2001-01-01
842,843,Alberta,Castle River Wind Farm,44.0,CRW38,38/60,660.0,47.0,50.0,Vestas,V47/660,2000/2001,49.5002175522126,-114.046444686409,,60,2001,2001-01-01
843,844,Alberta,Castle River Wind Farm,44.0,CRW39,39/60,660.0,47.0,50.0,Vestas,V47/660,2000/2001,49.4992151165076,-114.04631567597,,60,2001,2001-01-01
844,845,Alberta,Castle River Wind Farm,44.0,CRW40,40/60,660.0,47.0,50.0,Vestas,V47/660,2000/2001,49.4972250127371,-114.05139086738,,60,2001,2001-01-01
845,846,Alberta,Castle River Wind Farm,44.0,CRW41,41/60,660.0,47.0,50.0,Vestas,V47/660,2000/2001,49.4962379099477,-114.051150258036,,60,2001,2001-01-01
846,847,Alberta,Castle River Wind Farm,44.0,CRW42,42/60,660.0,47.0,50.0,Vestas,V47/660,2000/2001,49.521443370281,-114.051200997052,,60,2001,2001-01-01
847,848,Alberta,Castle River Wind Farm,44.0,CRW43,43/60,660.0,47.0,50.0,Vestas,V47/660,2000/2001,49.5197593517827,-114.051291624996,,60,2001,2001-01-01
848,849,Alberta,Castle River Wind Farm,44.0,CRW44,44/60,660.0,47.0,50.0,Vestas,V47/660,2000/2001,49.5186853405837,-114.051300938406,,60,2001,2001-01-01
849,850,Alberta,Castle River Wind Farm,44.0,CRW45,45/60,660.0,47.0,50.0,Vestas,V47/660,2000/2001,49.5177068474359,-114.051320731615,,60,2001,2001-01-01
850,851,Alberta,Castle River Wind Farm,44.0,CRW46,46/60,660.0,47.0,50.0,Vestas,V47/660,2000/2001,49.5167441085891,-114.051334073396,,60,2001,2001-01-01
851,852,Alberta,Castle River Wind Farm,44.0,CRW47,47/60,660.0,47.0,50.0,Vestas,V47/660,2000/2001,49.5155155586491,-114.055662408161,,60,2001,2001-01-01
852,853,Alberta,Castle River Wind Farm,44.0,CRW48,48/60,660.0,47.0,50.0,Vestas,V47/660,2000/2001,49.514592859479,-114.055538628239,,60,2001,2001-01-01
853,854,Alberta,Castle River Wind Farm,44.0,CRW49,49/60,660.0,47.0,50.0,Vestas,V47/660,2000/2001,49.513781311535,-114.05553104422,,60,2001,2001-01-01
854,855,Alberta,Castle River Wind Farm,44.0,CRW50,50/60,660.0,47.0,50.0,Vestas,V47/660,2000/2001,49.5129507769927,-114.055549045308,,60,2001,2001-01-01
855,856,Alberta,Castle River Wind Farm,44.0,CRW51,51/60,660.0,47.0,50.0,Vestas,V47/660,2000/2001,49.5120897882975,-114.055539586134,,60,2001,2001-01-01
856,857,Alberta,Castle River Wind Farm,44.0,CRW52,52/60,660.0,47.0,50.0,Vestas,V47/660,2000/2001,49.51122813192,-114.055534019284,,60,2001,2001-01-01
